IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
198.71.233.135,8443,443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,314,8.05
198.71.233.91,8443,443,TRUE,Ashburn-cf,Europe,FR,Ashburn-cf,382,8.03
198.71.233.133,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,377,8.02
198.71.233.179,8443,443,TRUE,Ashburn-cf,Europe,GB,Ashburn-cf,213,8.01
198.71.233.179,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,389,8.01
198.71.233.179,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,353,8
198.71.233.85,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,448,7.95
198.71.233.159,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,355,7.94
198.71.233.83,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,323,7.91
198.71.233.94,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,250,7.85
198.71.233.127,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,397,7.82
198.71.233.195,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,314,7.8
198.71.233.98,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,300,7.8
198.71.233.105,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,262,7.79
198.71.233.245,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,371,7.76
198.71.233.125,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,269,7.76
198.71.233.107,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,279,7.76
198.71.233.212,8443,443,TRUE,Ashburn-cf,Europe,CH,Ashburn-cf,284,7.75
198.71.233.166,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,266,7.74
86.38.214.242,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,234,7.73
86.38.214.129,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,461,7.72
86.38.214.98,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,216,7.72
86.38.214.146,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,340,7.71
86.38.214.76,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,245,7.7
86.38.214.66,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,438,7.7
86.38.214.100,8443,443,TRUE,Ashburn-cf,Europe,DE,Ashburn-cf,326,7.67
86.38.214.152,8443,443,TRUE,Ashburn-cf,North America,US,Ashburn-cf,323,7.67
