IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
143.47.177.95,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,242,9.04
141.148.235.252,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,325,9.04
217.142.134.237,443,443,TRUE,Los Angeles,North America,US,Los Angeles,320,9.03
89.168.112.179,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,244,9.01
143.47.190.229,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,287,9.01
143.47.225.250,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,272,8.96
141.148.246.178,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,293,8.95
79.72.79.56,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,344,8.94
143.47.178.94,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,241,8.94
141.147.69.235,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,381,8.94
152.70.51.120,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,316,8.92
158.180.13.188,443,443,TRUE,Hamburg,Europe,DE,Hamburg,268,8.91
141.144.200.49,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,306,8.88
130.162.250.88,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,303,8.87
141.147.91.161,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,230,8.85
129.159.205.52,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,435,8.8
141.144.228.6,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,321,8.79
130.61.8.227,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,315,8.78
130.162.237.93,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,293,8.78
141.144.206.222,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,281,8.77
138.2.152.75,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,322,8.77
152.70.117.174,443,443,TRUE,San Jose,North America,US,San Jose,252,8.77
193.123.60.203,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,464,8.76
192.9.138.241,443,443,TRUE,San Jose,North America,US,San Jose,287,8.75
89.168.123.24,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,259,8.73
158.179.206.143,443,443,TRUE,Stockholm,Europe,SE,Stockholm,212,8.73
152.70.179.34,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,323,8.73
141.147.4.209,443,443,TRUE,Paris,Europe,FR,Paris,190,8.71
141.144.237.189,443,443,TRUE,Hamburg,Europe,DE,Hamburg,153,8.71
64.110.75.52,443,443,TRUE,Los Angeles,North America,US,Los Angeles,349,8.71
79.72.93.134,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,342,8.68
84.235.168.26,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,257,8.67
141.147.23.251,443,443,TRUE,Amsterdam,Europe,NL,Amsterdam,302,8.67
141.147.77.83,443,443,TRUE,Düsseldorf,Europe,DE,Düsseldorf,207,8.66
141.147.40.166,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,355,8.65
204.216.105.106,8443,8443,TRUE,Montréal,North America,CA,Montréal,320,8.65
150.230.116.13,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,218,8.65
158.101.222.86,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,264,8.64
130.162.45.55,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,393,8.64
141.147.70.156,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,373,8.63
141.144.202.144,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,271,8.62
130.162.171.188,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,324,8.62
152.70.63.54,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,316,8.61
130.162.169.76,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,348,8.61
79.76.121.242,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,335,8.6
143.47.240.182,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,331,8.58
192.9.137.193,8443,443,TRUE,San Jose,North America,US,San Jose,330,8.56
158.178.153.16,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,236,8.56
141.147.70.131,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,361,8.55
138.2.156.96,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,339,8.52
192.9.158.188,443,443,TRUE,San Jose,North America,US,San Jose,320,8.51
141.147.44.128,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,369,8.5
79.72.89.192,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,313,8.49
79.76.112.43,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,173,8.49
130.162.177.62,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,421,8.47
152.70.40.26,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,348,8.47
79.72.81.171,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,291,8.44
130.162.235.102,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,283,8.43
143.47.189.24,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,356,8.42
141.147.2.70,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,287,8.39
130.162.177.138,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,279,8.33
79.72.67.9,443,443,TRUE,Paris,Europe,FR,Paris,315,8.33
158.178.150.34,443,443,TRUE,Hamburg,Europe,DE,Hamburg,203,8.32
79.72.92.12,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,320,8.31
143.47.226.240,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,290,8.31
130.162.185.160,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,347,8.3
64.181.233.163,2087,443,TRUE,San Jose,North America,US,San Jose,305,8.26
141.147.78.178,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,296,8.24
64.181.240.173,443,443,TRUE,San Jose,North America,US,San Jose,241,8.18
143.47.235.5,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,369,8.17
143.47.236.246,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,364,8.14
158.101.203.222,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,313,8.14
79.72.84.207,443,443,TRUE,Paris,Europe,FR,Paris,302,8.14
141.147.91.37,443,443,TRUE,Hamburg,Europe,DE,Hamburg,198,8.11
167.234.222.144,443,443,TRUE,San Jose,North America,US,San Jose,211,8.1
152.70.63.195,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,299,8.09
